Ticker,Sentiment_Score,Mention_Count
AAPL,-0.02600685818692143,51
MSFT,0.030534944141721747,62
NVDA,0.042986466581516294,55
GOOG,0.09429698026794991,26
GOOGL,-0.04763406120115113,41
AMZN,0.0031176319441667028,68
META,0.005690322559829307,51
AVGO,0.10833597489048914,3
TSM,-0.05599197220589012,11
TSLA,0.08807929362886738,106
WMT,0.004169700227220695,24
LLY,0.09021783502030027,5
JPM,-0.08899880138557224,50
V,-0.040170079337468356,19
UNH,0.011828752143147353,11
MA,-0.020433602113463133,19
XOM,-0.01688739126376009,31
COST,-0.03176998150793271,19
NFLX,-0.061225260856099153,9
FMX,0.0,0
PG,0.010669739027785265,11
JNJ,0.13408435023005758,7
ORCL,0.03623851768775405,4
HD,-0.1373726378269849,13
SAP,-0.1271691116315392,4
KO,-0.014942720217875419,8
TMUS,-0.220030229516982,2
BAC,-0.0673989812331926,42
NVO,-0.05197874081646311,3
SMFG,0.0,0
BABA,-0.21652942942223555,15
ASML,-0.24561374458548277,3
PM,0.0,0
CRM,0.06378086194940942,3
CVX,-0.03178408351466035,17
TM,0.07120048725585879,3
CCZ,0.0,0
ABT,-0.029444480128248688,3
CSCO,0.1679257062016587,4
IBM,0.08643933082425327,11
MCD,-0.008538072055360169,10
PLTR,0.15992408951008658,4
NVS,0.030771224133109475,5
LIN,-0.17564509095340897,1
WFC,-0.06828167662581083,17
AZN,0.06956624077786908,2
GE,0.0991645515890283,6
SHEL,0.09021463439363986,3
T,0.046539348842894165,10
ACN,0.18736382364501233,4
MRK,0.23221503771670426,3
PEP,-0.08836665692163306,4
RTX,-0.11115460131169116,8
ISRG,-0.4467984095378982,1
TMO,0.0,0
INTU,0.028490772173699726,8
NOW,0.11742997645825251,1
RY,0.0,0
TBB,0.0,0
PGR,-0.29934857878807297,1
GS,-0.12055512365826075,35
UL,0.04703066598527821,3
UBER,-0.04781718926957427,7
AMGN,0.26053334932385563,2
QCOM,-0.06209224821587589,10
DIS,-0.19241240109580854,14
BKNG,0.0,0
ADBE,-6.845975769650264e-05,2
AMD,0.11234064667147614,29
SPGI,0.024768660586464805,16
TJX,0.0,0
SONY,0.0,0
BSX,0.0,0
CAT,-0.20599199250843836,3
SCHW,0.05113902336525303,6
DHR,0.0,0
MUFG,-0.11986840693366176,1
NEE,0.0,0
